Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
101530,해태제과식품,5310,-10,-0.19,12509,154610324820,2.5,114.17
376190,LB루셈,6280,-20,-0.32,3826,154488000000,1.6,288.39
033530,세종공업,5540,-60,-1.07,38649,154128123940,1.9,40.8
264450,유비쿼스,15020,20,0.13,23472,153890504120,13.8,6.31
006890,태경케미컬,13260,210,1.61,35835,153816000000,11.5,12.18
137950,제이씨케미칼,6900,70,1.02,99832,153647916600,8.8,12.48
282720,금양그린파워,12650,-50,-0.39,34646,153311675000,7.0,20.21
089470,HDC현대EP,4805,10,0.21,54526,153279500000,6.5,5.16
079980,휴비스,4435,10,0.23,124766,153007500000,-7.8,-2.27
235980,메드팩토,7250,-250,-3.33,240618,152835038750,-59.2,-4.88
389020,자람테크놀로지,24650,-200,-0.8,7963,152774044500,-4.8,-52.3
031440,신세계푸드,39450,-450,-1.13,4280,152769336000,1.8,-41.06
377450,리파인,8770,-150,-1.68,137381,151984100000,13.7,6.48
109070,컨버즈,4100,0,0.0,0,150921943000,3.5,-19.99
205100,엑셈,2095,-40,-1.87,457465,150763387945,6.9,15.37
065560,녹원씨엔아이,11540,0,0.0,0,150366915480,-3.2,-5.13
134380,미원화학,68300,1100,1.64,37,150210004400,14.7,7.73
176750,듀켐바이오,5540,-30,-0.54,405,149719718800,,
950220,네오이뮨텍,1513,-55,-3.51,289705,149586474545,-44.8,-4.58
086960,MDS테크,1706,-24,-1.39,23794574,149408982416,7.4,359.79
009410,태영건설,3840,-10,-0.26,79518,149372536320,2.2,1.29
039560,다산네트웍스,3780,-30,-0.79,102984,149332608180,-39.5,7.9
164060,이루다,7230,-40,-0.55,79387,148996064130,6.2,26.1
388870,파로스아이바이오,11500,300,2.68,355823,148568063000,,
052260,현대바이오랜드,9900,-20,-0.2,7065,148500000000,8.5,40.42
048910,대원미디어,11800,10,0.08,24186,148431562800,5.5,63.16
025950,동신건설,17640,150,0.86,45008,148176000000,6.1,20.65
950190,고스트스튜디오,10900,150,1.4,10530,148020822800,18.5,5.72
272110,케이엔제이,18580,-20,-0.11,33777,147625439100,14.1,16.39
036630,세종텔레콤,671,-9,-1.32,168216,147620000000,17.0,4.71
090470,제이스텍,8440,140,1.69,50699,147502453360,2.4,7.0
400760,NH올원리츠,3495,5,0.14,23585,147489000000,,
023600,삼보판지,9120,30,0.33,7625,147470400000,8.5,2.82
017370,우신시스템,8050,-150,-1.83,383641,147428134700,4.8,22.96
006740,영풍제지,3170,0,0.0,2792258,147348409160,1.1,481.16
388050,지투파워,7900,-140,-1.74,271183,147228500100,-1.0,
236200,슈프리마,20400,0,0.0,4324,146742769200,9.9,10.49
270660,에브리봇,12030,-80,-0.66,103020,146661844260,3.7,55.07
001020,페이퍼코리아,824,-5,-0.6,48664,146658249912,3.9,3.23
070960,용평리조트,3040,0,0.0,12905,146325332320,0.2,-29.24
211050,인카금융서비스,14220,120,0.85,6910,146124151200,7.7,5.96
008700,아남전자,1891,23,1.23,400019,145843034620,3.2,20.56
023900,풍국주정,11570,0,0.0,13430,145782000000,4.1,40.38
